CEAE,0;0;348;314;0;397;215;0;226;377;0;336;431;0;415;0;446;0;0;0;260;0;0;331;0;0;245;0;189;0;0;83;0;281;47;0;0;327;302;337;366;0;572;0;182;451;0;0;175;364;0;521;0;338;0;409;0;243;0;0;386;173;0;264;205;0;173;132;0;173;164;0;0;409;0;412;0;308;0;432;0;0;0;155;0;147;334;135;0;0;0;41;0;304;332;0;0;0;263;0
OXK6,39;58;33;43;49;40;37;38;48;42;17;34;42;44;51;39;43;43;61;42;45;67;43;42;17;34;68;69;37;29;40;48;62;38;38;24;35;37;31;53;24;65;49;28;37;32;32;15;50;34;19;48;33;41;56;32;60;34;25;46;31;23;28;54;23;43;28;44;57;40;48;46;55;42;29;14;33;11;50;47;57;37;31;36;55;43;33;23;72;38;28;63;35;35;35;67;23;21;50;31
IRSG,22;37;99;94;21;63;39;60;5;33;33;43;18;83;12;57;75;10;51;46;36;12;97;66;75;7;18;15;63;5;20;1;67;74;64;62;46;36;87;43;19;83;33;72;11;49;57;0;55;61;77;63;69;92;94;1;83;93;21;34;32;62;29;77;70;29;25;71;61;17;53;39;86;42;33;11;76;31;50;54;88;89;22;61;15;66;15;81;2;41;64;86;18;22;19;50;38;62;99;6
NF5C,76;96;8;83;95;7;38;49;10;11;33;44;94;46;73;11;18;36;88;45;22;58;2;98;68;4;53;95;64;99;68;40;43;13;53;93;68;92;67;6;88;69;98;68;32;22;42;12;77;42;47;59;32;24;21;1;96;64;38;36;61;37;81;65;75;42;67;25;56;36;92;73;87;24;93;96;70;35;92;70;27;53;33;63;11;60;9;98;80;38;84;72;53;54;93;41;4;78;53;68
Q243,92;44;35;31;96;23;27;86;89;84;61;56;26;26;41;86;83;94;51;53;98;62;22;65;28;63;47;3;61;86;81;76;39;39;5;65;75;98;7;19;51;48;31;80;5;42;59;21;43;17;36;1;36;41;43;22;53;99;90;20;14;35;78;47;69;15;12;8;61;34;65;9;62;30;68;72;23;48;28;97;37;3;26;32;58;35;25;66;2;88;28;69;23;20;16;14;72;25;48;68
AJKH,22;26;48;3;95;89;65;87;35;53;8;91;11;19;31;4;37;57;7;28;70;37;76;21;72;53;82;49;59;41;36;53;20;0;56;94;14;14;45;16;69;87;27;87;36;94;30;16;14;61;90;92;45;60;69;61;24;41;2;45;60;78;22;17;94;46;90;12;71;71;13;92;49;6;60;78;14;30;89;48;54;10;32;81;22;13;68;78;84;43;74;40;35;66;35;59;1;40;53;96
OE4G,79;50;61;51;50;63;66;15;50;42;28;40;39;65;51;28;48;53;45;49;28;53;56;29;28;26;75;18;50;40;54;50;36;83;52;58;39;40;1;40;55;63;38;51;36;35;60;59;34;3;52;48;54;31;69;54;71;49;45;77;28;48;51;31;36;48;43;18;54;37;57;47;52;60;52;45;47;50;63;60;48;46;45;47;48;52;54;72;40;37;68;34;62;76;24;64;54;31;72;50
XLCC,41;77;31;65;46;34;0;74;57;49;7;51;58;85;41;91;49;54;10;87;54;56;0;0;16;22;50;33;68;74;34;29;36;53;32;56;58;76;68;92;67;84;7;32;90;75;69;19;62;72;49;42;54;1;26;11;6;97;67;23;99;40;15;1;72;19;91;73;90;28;29;23;88;71;41;39;20;57;11;66;50;58;12;29;79;22;34;35;81;60;56;41;40;55;79;53;69;14;87;71
YMIV,34;36;71;45;33;56;46;7;70;40;84;59;37;65;11;37;44;9;20;74;42;40;65;37;67;27;64;41;28;32;31;77;40;32;58;123;2;62;66;45;54;25;37;99;5;42;52;52;32;50;18;82;32;55;52;21;36;35;73;72;20;45;83;68;35;27;56;47;76;74;34;61;74;61;39;14;48;34;46;77;60;44;54;23;49;70;45;61;85;47;58;22;53;67;74;74;102;37;52;45
WS55,53;13;14;70;96;66;11;16;91;8;33;9;51;43;80;57;73;17;30;9;29;85;83;24;47;84;43;19;27;18;93;43;80;22;26;87;27;86;45;82;14;63;66;32;27;77;69;43;59;69;70;98;22;87;88;64;24;86;51;34;87;62;67;94;31;69;26;25;30;47;98;38;90;13;85;89;12;38;13;62;76;20;49;25;47;76;57;71;16;4;50;37;36;60;3;61;38;33;55;55
K573,79;41;0;53;96;86;58;86;9;37;19;10;47;51;90;34;81;18;25;92;39;98;8;32;35;71;62;8;84;80;32;2;48;31;80;24;34;95;7;71;61;80;95;90;5;97;21;45;96;27;27;56;88;43;26;25;52;58;82;6;4;67;74;82;26;37;28;88;31;22;67;61;91;76;25;86;3;9;92;82;89;0;59;71;30;40;88;8;24;9;18;43;41;90;87;9;60;96;89;31
RUXG,12;81;4;45;93;20;64;41;5;76;39;35;73;19;83;44;41;88;79;46;15;25;74;51;78;64;87;26;37;27;15;5;72;94;55;98;91;74;37;96;66;49;66;69;29;9;10;97;10;8;32;18;48;92;56;95;14;23;30;28;33;74;49;72;95;56;6;54;27;36;40;38;23;67;18;68;52;76;56;42;64;53;78;55;76;98;29;21;61;22;56;8;35;18;52;93;70;34;68;49
SR03,57;28;85;16;80;48;70;90;60;53;71;80;19;71;98;12;40;43;96;47;16;75;18;15;44;79;4;26;75;37;88;50;80;65;78;82;72;79;29;7;26;21;53;97;23;54;60;97;13;1;19;47;67;48;4;69;31;52;83;98;5;98;30;77;40;24;64;10;92;2;74;55;95;57;53;57;76;30;96;94;86;72;15;19;97;59;52;99;12;60;62;15;47;34;84;66;91;43;90;52
XOQK,16;78;93;14;68;45;33;68;19;9;88;28;76;80;98;73;24;96;32;47;35;20;50;50;92;25;61;76;94;53;17;81;86;53;20;90;11;17;82;88;70;42;58;19;2;8;86;14;3;41;98;17;92;31;21;5;11;37;9;22;26;49;57;95;79;21;2;67;91;28;56;40;29;22;24;8;51;92;7;69;51;5;21;54;84;46;83;68;83;21;62;55;65;82;10;57;98;91;11;93
SUD1,93;32;64;40;74;81;67;84;1;99;83;41;94;27;66;8;52;43;21;35;89;85;6;30;20;91;47;43;76;90;22;71;48;92;75;19;23;50;7;17;82;52;19;50;65;32;29;9;99;22;35;27;66;21;20;95;87;36;89;78;98;44;85;3;55;17;50;88;89;63;68;73;52;62;68;75;83;44;62;26;43;76;83;4;91;33;94;96;48;8;50;79;89;69;33;66;61;81;12;1
JU8G,69;79;44;91;28;53;32;50;76;98;8;58;99;83;16;1;95;98;48;96;11;58;51;5;45;26;37;61;13;28;29;52;37;78;15;2;46;27;66;38;40;52;6;38;54;87;44;70;69;14;7;46;51;57;15;23;32;74;33;38;61;61;15;56;49;56;58;14;93;41;58;92;84;54;61;2;60;67;84;6;25;27;43;73;31;2;72;54;58;11;56;80;90;9;22;77;77;72;77;20
CDL3,55;14;99;29;53;69;86;22;14;23;54;7;74;98;77;43;77;44;46;27;18;2;2;60;6;48;60;77;31;54;9;96;53;25;92;46;52;87;43;27;24;14;20;80;77;92;24;97;73;32;39;63;69;73;25;7;1;16;87;49;28;29;93;27;49;75;20;82;79;21;57;87;28;44;6;45;17;98;45;6;42;13;11;88;2;46;58;34;80;98;4;99;85;83;92;92;19;60;87;61
V1N7,11;97;29;27;27;49;89;67;64;12;55;13;24;98;13;36;31;56;71;68;14;88;42;24;37;52;32;20;4;69;57;75;63;19;46;30;99;50;91;20;73;71;79;31;13;57;44;22;7;99;88;93;19;10;68;26;96;1;87;20;29;17;47;37;20;92;84;87;74;46;14;32;59;26;66;88;79;87;0;34;30;50;92;94;62;41;75;64;95;86;66;30;81;6;87;77;78;78;71;8
DRIU,57;52;41;49;46;53;15;51;52;34;23;39;31;48;55;42;43;26;45;38;39;42;39;70;50;47;23;37;42;48;47;66;73;27;38;46;41;44;46;45;17;36;41;40;63;22;32;44;50;52;43;52;43;54;50;46;64;33;40;68;60;58;32;57;34;42;32;22;44;42;40;50;18;39;44;30;56;30;30;50;34;38;44;30;38;49;45;44;37;37;53;57;49;42;30;36;9;56;49;72
BIB4,98;42;86;30;81;5;98;34;80;13;53;11;43;96;80;18;9;2;15;17;8;47;1;69;44;86;49;79;38;64;10;66;69;78;99;79;6;5;81;93;45;32;78;20;8;49;22;72;7;59;77;74;5;96;57;94;6;61;42;25;6;34;43;43;15;56;91;10;91;31;74;97;30;2;71;27;79;70;16;24;61;6;0;95;56;28;52;46;42;70;32;87;18;21;97;72;75;51;50;21
Z84R,44;97;23;30;44;41;45;96;87;98;62;63;47;80;91;20;97;55;36;47;57;62;99;25;52;84;74;88;0;89;29;68;18;95;85;31;95;90;28;63;56;23;21;12;85;41;51;73;88;40;66;35;12;33;94;49;85;20;72;4;19;74;3;47;80;9;12;95;34;18;51;0;54;48;43;20;90;74;20;14;46;55;43;8;32;11;30;26;61;67;90;46;56;10;11;39;38;91;68;58
XCXR,6;73;52;72;93;13;27;74;86;6;11;5;43;70;12;57;94;56;83;14;13;46;38;38;44;29;1;25;16;15;97;99;12;35;59;11;70;40;6;13;19;25;86;12;48;87;88;98;54;54;84;86;61;10;1;25;21;88;9;59;14;56;69;96;2;34;95;34;69;22;19;97;29;78;51;5;28;39;89;25;72;35;47;29;41;81;45;79;18;64;56;56;21;94;54;17;61;74;51;33
F2GE,10;39;5;35;93;89;77;29;87;49;79;39;12;63;98;40;93;6;75;37;53;80;49;12;98;2;53;24;77;36;17;56;58;86;22;60;52;50;47;49;97;23;24;90;49;67;97;7;78;64;45;51;97;21;68;50;87;23;77;0;71;64;15;26;20;69;30;59;23;23;74;24;71;80;5;92;84;60;63;2;50;80;96;60;95;47;9;18;86;78;71;9;52;98;69;63;52;22;40;24
PKH1,52;89;88;25;49;38;37;45;65;11;37;58;74;37;88;49;89;57;56;19;59;44;65;64;32;63;66;41;4;51;8;96;75;67;98;29;25;1;82;31;71;52;18;57;45;14;78;99;89;95;75;88;97;70;30;73;49;76;35;46;4;88;28;89;81;4;62;37;33;47;16;43;0;96;16;75;38;16;34;76;17;25;30;22;85;41;94;75;71;30;58;63;19;83;85;63;89;29;29;10
XQL2,26;8;38;41;27;34;97;33;61;57;90;73;7;32;83;78;57;75;28;30;26;64;94;76;49;47;14;97;66;90;33;43;62;88;35;65;15;80;32;74;68;71;39;79;16;53;54;52;81;93;15;79;15;59;82;52;90;23;16;88;22;2;36;65;55;60;61;16;30;1;31;18;76;9;74;65;45;20;42;35;27;88;93;73;65;12;84;41;11;29;78;30;77;28;70;53;44;23;51;54
T0IN,54;12;49;30;0;35;96;49;37;34;17;13;7;22;74;74;79;60;44;73;51;68;57;92;89;43;8;3;79;78;76;8;91;64;6;8;6;79;73;97;32;62;27;73;96;3;66;45;35;31;52;84;30;28;73;27;5;40;84;21;58;99;13;3;71;27;34;77;26;0;8;89;99;76;29;10;79;21;36;14;84;69;26;0;0;43;16;64;72;27;2;21;82;88;63;14;55;43;58;50
FENV,73;53;72;99;7;44;98;55;46;65;76;80;2;45;21;71;26;32;56;15;80;69;7;29;77;38;51;55;33;65;10;69;0;75;20;3;86;32;80;42;76;22;42;72;24;99;75;91;90;8;5;10;69;38;18;45;39;76;28;42;76;1;83;70;62;74;98;91;34;56;12;73;3;11;63;52;85;78;0;59;28;78;51;79;82;2;8;3;47;14;43;88;52;5;8;94;64;93;92;94
